Species,Individuals,IVI,Rank
Ki Haji,65,116.56118314859148,1
Ki Sapi,35,64.71624491826104,2
Pisitan Monyet,12,22.84946446099512,3
Hantap Helang,8,17.324905532921218,4
Ki Besi,5,16.22871773442302,5
Ki Terong,8,16.194398610671776,6
Huru Kembang,7,15.46173664346372,7
Ki Bima,3,12.826788755276926,8
Campaka,4,9.912592128222524,9
Teureup,2,7.923968067173179,10
